,move
0,DOWN
1,DOWN
2,DOWN
3,DOWN
4,DOWN
5,DOWN
6,DOWN
7,DOWN
8,DOWN
9,DOWN
10,DOWN
11,DOWN
12,DOWN
13,DOWN
14,DOWN
15,DOWN
16,DOWN
17,DOWN
18,DOWN
19,DOWN
20,DOWN
21,DOWN
22,DOWN
23,DOWN
24,DOWN
25,DOWN
26,DOWN
27,DOWN
28,DOWN
29,DOWN
30,DOWN
31,DOWN
32,DOWN
33,DOWN
34,DOWN
35,DOWN
36,DOWN
37,DOWN
38,DOWN
39,DOWN
40,DOWN
41,DOWN
42,DOWN
43,DOWN
44,DOWN
45,DOWN
46,DOWN
47,DOWN
48,DOWN
50,DOWN
51,DOWN
52,DOWN
53,DOWN
54,DOWN
55,DOWN
56,DOWN
57,DOWN
58,DOWN
59,DOWN
60,DOWN
62,DOWN
63,DOWN
64,DOWN
65,DOWN
66,DOWN
67,DOWN
68,DOWN
69,DOWN
70,DOWN
71,DOWN
72,DOWN
73,DOWN
74,DOWN
75,DOWN
76,DOWN
77,DOWN
78,DOWN
79,DOWN
80,DOWN
81,DOWN
82,DOWN
83,DOWN
84,DOWN
85,DOWN
86,DOWN
87,DOWN
88,DOWN
89,DOWN
90,DOWN
91,DOWN
93,DOWN
94,DOWN
95,DOWN
96,DOWN
97,DOWN
98,DOWN
99,DOWN
100,DOWN
101,DOWN
102,DOWN
103,DOWN
104,DOWN
105,DOWN
106,DOWN
107,DOWN
108,DOWN
109,DOWN
110,DOWN
111,DOWN
112,DOWN
113,DOWN
114,DOWN
115,DOWN
116,DOWN
117,DOWN
118,DOWN
119,DOWN
120,DOWN
121,DOWN
122,DOWN
123,DOWN
124,DOWN
125,DOWN
126,DOWN
127,DOWN
128,DOWN
129,DOWN
130,DOWN
131,DOWN
132,DOWN
133,DOWN
134,DOWN
135,DOWN
136,DOWN
137,DOWN
138,DOWN
139,DOWN
140,DOWN
141,DOWN
142,DOWN
143,DOWN
144,DOWN
145,DOWN
146,DOWN
147,DOWN
148,DOWN
149,DOWN
150,DOWN
151,DOWN
152,DOWN
153,DOWN
154,DOWN
155,DOWN
156,DOWN
157,DOWN
158,DOWN
159,DOWN
160,DOWN
161,DOWN
162,DOWN
163,DOWN
164,DOWN
165,DOWN
166,DOWN
167,DOWN
168,DOWN
169,DOWN
170,DOWN
171,DOWN
172,DOWN
173,DOWN
174,DOWN
175,DOWN
176,DOWN
177,DOWN
178,DOWN
179,DOWN
180,DOWN
181,DOWN
182,DOWN
183,DOWN
184,DOWN
185,DOWN
186,DOWN
187,DOWN
188,DOWN
189,DOWN
190,DOWN
191,DOWN
192,DOWN
193,DOWN
194,DOWN
195,DOWN
196,DOWN
198,DOWN
199,DOWN
200,DOWN
201,DOWN
202,DOWN
203,DOWN
204,DOWN
205,DOWN
206,DOWN
207,DOWN
208,DOWN
209,DOWN
210,DOWN
211,DOWN
212,DOWN
213,DOWN
214,DOWN
215,DOWN
216,DOWN
217,DOWN
218,DOWN
219,DOWN
220,DOWN
221,DOWN
222,DOWN
223,DOWN
224,DOWN
225,DOWN
226,DOWN
227,DOWN
228,DOWN
229,DOWN
230,DOWN
231,DOWN
232,DOWN
233,DOWN
234,DOWN
235,DOWN
236,DOWN
237,DOWN
238,DOWN
239,DOWN
240,DOWN
241,DOWN
242,DOWN
243,DOWN
244,DOWN
245,DOWN
246,DOWN
247,DOWN
248,DOWN
249,DOWN
250,DOWN
251,DOWN
252,DOWN
253,DOWN
254,DOWN
255,DOWN
256,DOWN
257,DOWN
258,DOWN
259,DOWN
260,DOWN
261,DOWN
262,DOWN
263,DOWN
264,DOWN
265,DOWN
266,DOWN
267,DOWN
269,DOWN
270,DOWN
271,DOWN
273,DOWN
274,DOWN
275,DOWN
276,DOWN
277,DOWN
278,DOWN
279,DOWN
280,DOWN
282,DOWN
283,DOWN
284,DOWN
285,DOWN
286,DOWN
287,DOWN
288,DOWN
289,DOWN
290,DOWN
291,DOWN
292,DOWN
293,DOWN
294,DOWN
295,DOWN
296,DOWN
297,DOWN
298,DOWN
299,DOWN
301,DOWN
302,DOWN
303,DOWN
304,DOWN
305,DOWN
306,DOWN
307,DOWN
308,DOWN
309,DOWN
310,DOWN
311,DOWN
312,DOWN
313,DOWN
314,DOWN
315,DOWN
316,DOWN
317,DOWN
318,DOWN
319,DOWN
320,DOWN
321,DOWN
322,DOWN
323,DOWN
324,DOWN
325,DOWN
326,DOWN
327,DOWN
328,DOWN
329,DOWN
330,DOWN
331,DOWN
332,DOWN
333,DOWN
334,DOWN
335,DOWN
336,DOWN
337,DOWN
338,DOWN
339,DOWN
340,DOWN
341,DOWN
342,DOWN
343,DOWN
344,DOWN
345,DOWN
346,DOWN
347,DOWN
348,DOWN
349,DOWN
350,DOWN
351,DOWN
352,DOWN
353,DOWN
354,DOWN
355,DOWN
356,DOWN
357,DOWN
358,DOWN
359,DOWN
360,DOWN
361,DOWN
362,DOWN
363,DOWN
364,DOWN
365,DOWN
366,DOWN
367,DOWN
368,DOWN
369,DOWN
370,DOWN
371,DOWN
372,DOWN
373,DOWN
374,DOWN
375,DOWN
376,DOWN
377,DOWN
378,DOWN
379,DOWN
380,DOWN
381,DOWN
383,DOWN
384,DOWN
385,DOWN
386,DOWN
387,DOWN
388,DOWN
390,DOWN
391,DOWN
392,DOWN
393,DOWN
394,DOWN
395,DOWN
396,DOWN
397,DOWN
398,DOWN
399,DOWN
400,DOWN
401,DOWN
402,DOWN
403,DOWN
404,DOWN
405,DOWN
406,DOWN
407,DOWN
408,DOWN
409,DOWN
410,DOWN
411,DOWN
412,DOWN
413,DOWN
414,DOWN
415,DOWN
416,DOWN
417,DOWN
418,DOWN
419,DOWN
420,DOWN
421,DOWN
422,DOWN
423,DOWN
424,DOWN
425,DOWN
426,DOWN
427,DOWN
429,DOWN
430,DOWN
431,DOWN
432,DOWN
433,DOWN
434,DOWN
435,DOWN
436,DOWN
437,DOWN
438,DOWN
439,DOWN
440,DOWN
441,DOWN
442,DOWN
443,DOWN
444,DOWN
445,DOWN
446,DOWN
447,DOWN
448,DOWN
449,DOWN
450,DOWN
451,DOWN
452,DOWN
453,DOWN
454,DOWN
455,DOWN
456,DOWN
457,DOWN
458,DOWN
459,DOWN
460,DOWN
461,DOWN
462,DOWN
463,DOWN
464,DOWN
465,DOWN
466,DOWN
467,DOWN
468,DOWN
469,DOWN
470,DOWN
471,DOWN
472,DOWN
473,DOWN
474,DOWN
475,DOWN
476,DOWN
477,DOWN
478,DOWN
479,DOWN
480,DOWN
481,DOWN
482,DOWN
483,DOWN
484,DOWN
485,DOWN
486,DOWN
487,DOWN
488,DOWN
489,DOWN
490,DOWN
491,DOWN
492,DOWN
493,DOWN
495,DOWN
496,DOWN
497,DOWN
498,DOWN
499,DOWN
500,DOWN
501,DOWN
502,DOWN
503,DOWN
504,DOWN
505,DOWN
506,DOWN
507,DOWN
508,DOWN
509,DOWN
510,DOWN
511,DOWN
512,DOWN
513,DOWN
514,DOWN
515,DOWN
516,DOWN
517,DOWN
518,DOWN
519,DOWN
520,DOWN
521,DOWN
522,DOWN
523,DOWN
524,DOWN
525,DOWN
526,DOWN
527,DOWN
528,DOWN
529,DOWN
531,DOWN
532,DOWN
533,DOWN
534,DOWN
535,DOWN
536,DOWN
537,DOWN
538,DOWN
539,DOWN
540,DOWN
541,DOWN
542,DOWN
543,DOWN
544,DOWN
545,DOWN
546,DOWN
547,DOWN
548,DOWN
549,DOWN
550,DOWN
551,DOWN
552,DOWN
553,DOWN
554,DOWN
555,DOWN
557,DOWN
558,DOWN
559,DOWN
560,DOWN
561,DOWN
562,DOWN
563,DOWN
564,DOWN
565,DOWN
566,DOWN
567,DOWN
568,DOWN
569,DOWN
570,DOWN
571,DOWN
572,DOWN
573,DOWN
574,DOWN
575,DOWN
576,DOWN
577,DOWN
579,DOWN
580,DOWN
581,DOWN
582,DOWN
583,DOWN
584,DOWN
585,DOWN
586,DOWN
587,DOWN
588,DOWN
589,DOWN
590,DOWN
591,DOWN
592,DOWN
593,DOWN
594,DOWN
597,DOWN
598,DOWN
599,DOWN
600,DOWN
601,DOWN
602,DOWN
603,DOWN
604,DOWN
605,DOWN
606,DOWN
607,DOWN
608,DOWN
609,DOWN
610,DOWN
612,DOWN
613,DOWN
614,DOWN
615,DOWN
616,DOWN
617,DOWN
618,DOWN
619,DOWN
621,DOWN
622,DOWN
623,DOWN
624,DOWN
625,DOWN
626,DOWN
627,DOWN
628,DOWN
629,DOWN
630,DOWN
632,DOWN
633,DOWN
634,DOWN
635,DOWN
636,DOWN
637,DOWN
638,DOWN
639,DOWN
640,DOWN
642,DOWN
643,DOWN
644,DOWN
645,DOWN
646,DOWN
647,DOWN
648,DOWN
649,DOWN
650,DOWN
651,DOWN
652,DOWN
653,DOWN
654,DOWN
655,DOWN
656,DOWN
657,DOWN
658,DOWN
659,DOWN
660,DOWN
661,DOWN
662,DOWN
663,DOWN
664,DOWN
665,DOWN
666,DOWN
667,DOWN
668,DOWN
669,DOWN
670,DOWN
671,DOWN
672,DOWN
673,DOWN
674,DOWN
675,DOWN
676,DOWN
677,DOWN
678,DOWN
679,DOWN
680,DOWN
681,DOWN
682,DOWN
683,DOWN
684,DOWN
685,DOWN
686,DOWN
687,DOWN
688,DOWN
689,DOWN
690,DOWN
691,DOWN
692,DOWN
693,DOWN
694,DOWN
695,DOWN
696,DOWN
697,DOWN
698,DOWN
699,DOWN
700,DOWN
701,DOWN
702,DOWN
703,DOWN
704,DOWN
705,DOWN
706,DOWN
707,DOWN
708,DOWN
709,DOWN
711,DOWN
712,DOWN
713,DOWN
715,DOWN
716,DOWN
717,DOWN
718,DOWN
719,DOWN
720,DOWN
721,DOWN
722,DOWN
723,DOWN
724,DOWN
725,DOWN
726,DOWN
727,DOWN
728,DOWN
729,DOWN
730,DOWN
731,DOWN
732,DOWN
733,DOWN
734,DOWN
735,DOWN
736,DOWN
737,DOWN
738,DOWN
739,DOWN
740,DOWN
741,DOWN
742,DOWN
743,DOWN
744,DOWN
745,DOWN
746,DOWN
747,DOWN
748,DOWN
749,DOWN
750,DOWN
751,DOWN
753,DOWN
754,DOWN
755,DOWN
756,DOWN
759,DOWN
760,DOWN
761,DOWN
762,DOWN
763,DOWN
764,DOWN
765,DOWN
766,DOWN
767,DOWN
768,DOWN
769,DOWN
770,DOWN
771,DOWN
772,DOWN
773,DOWN
774,DOWN
775,DOWN
776,DOWN
777,DOWN
778,DOWN
779,DOWN
780,DOWN
781,DOWN
782,DOWN
783,DOWN
784,DOWN
785,DOWN
786,DOWN
787,DOWN
788,DOWN
789,DOWN
790,DOWN
791,DOWN
792,DOWN
793,DOWN
794,DOWN
795,DOWN
796,DOWN
797,DOWN
798,DOWN
799,DOWN
800,DOWN
801,DOWN
802,DOWN
803,DOWN
804,DOWN
805,DOWN
806,DOWN
807,DOWN
808,DOWN
809,DOWN
810,DOWN
811,DOWN
812,DOWN
813,DOWN
814,DOWN
815,DOWN
816,DOWN
817,DOWN
818,DOWN
819,DOWN
820,DOWN
821,DOWN
822,DOWN
823,DOWN
824,DOWN
825,DOWN
826,DOWN
827,DOWN
828,DOWN
829,DOWN
830,DOWN
831,DOWN
832,DOWN
833,DOWN
834,DOWN
835,DOWN
836,DOWN
837,DOWN
838,DOWN
839,DOWN
840,DOWN
842,DOWN
843,DOWN
844,DOWN
845,DOWN
846,DOWN
847,DOWN
848,DOWN
849,DOWN
850,DOWN
851,DOWN
852,DOWN
853,DOWN
854,DOWN
855,DOWN
856,DOWN
857,DOWN
858,DOWN
859,DOWN
860,DOWN
861,DOWN
862,DOWN
863,DOWN
864,DOWN
865,DOWN
866,DOWN
867,DOWN
868,DOWN
869,DOWN
870,DOWN
871,DOWN
872,DOWN
873,DOWN
874,DOWN
875,DOWN
876,DOWN
877,DOWN
878,DOWN
879,DOWN
880,DOWN
881,DOWN
882,DOWN
883,DOWN
884,DOWN
885,DOWN
886,DOWN
887,DOWN
888,DOWN
889,DOWN
890,DOWN
891,DOWN
892,DOWN
893,DOWN
894,DOWN
895,DOWN
896,DOWN
897,DOWN
898,DOWN
899,DOWN
900,DOWN
901,DOWN
902,DOWN
903,DOWN
904,DOWN
906,DOWN
907,DOWN
908,DOWN
909,DOWN
910,DOWN
911,DOWN
912,DOWN
913,DOWN
914,DOWN
915,DOWN
916,DOWN
917,DOWN
918,DOWN
919,DOWN
921,DOWN
922,DOWN
923,DOWN
924,DOWN
925,DOWN
926,DOWN
927,DOWN
928,DOWN
929,DOWN
930,DOWN
931,DOWN
932,DOWN
933,DOWN
934,DOWN
935,DOWN
936,DOWN
937,DOWN
938,DOWN
939,DOWN
940,DOWN
941,DOWN
942,DOWN
943,DOWN
944,DOWN
945,DOWN
946,DOWN
947,DOWN
948,DOWN
949,DOWN
950,DOWN
951,DOWN
952,DOWN
953,DOWN
954,DOWN
955,DOWN
956,DOWN
957,DOWN
958,DOWN
959,DOWN
960,DOWN
961,DOWN
963,DOWN
964,DOWN
965,DOWN
966,DOWN
967,DOWN
968,DOWN
969,DOWN
970,DOWN
971,DOWN
972,DOWN
973,DOWN
974,DOWN
975,DOWN
976,DOWN
977,DOWN
978,DOWN
979,DOWN
980,DOWN
981,DOWN
982,DOWN
983,DOWN
984,DOWN
985,DOWN
986,DOWN
987,DOWN
988,DOWN
990,DOWN
991,DOWN
993,DOWN
994,DOWN
995,DOWN
996,DOWN
997,DOWN
998,DOWN
999,DOWN
1000,DOWN
1001,DOWN
1002,DOWN
1003,DOWN
1004,DOWN
1005,DOWN
1006,DOWN
1007,DOWN
1008,DOWN
1009,DOWN
1010,DOWN
1011,DOWN
1014,DOWN
1015,DOWN
1016,DOWN
1017,DOWN
1018,DOWN
1019,DOWN
1020,DOWN
1021,DOWN
1022,DOWN
1023,DOWN
1024,DOWN
1025,DOWN
1026,DOWN
1027,DOWN
1028,DOWN
1029,DOWN
1030,DOWN
1031,DOWN
1032,DOWN
1035,DOWN
1036,DOWN
1037,DOWN
1038,DOWN
1039,DOWN
1040,DOWN
1041,DOWN
1042,DOWN
1043,DOWN
1044,DOWN
1045,DOWN
1046,DOWN
1047,DOWN
1048,DOWN
1049,DOWN
1050,DOWN
1051,DOWN
1052,DOWN
1053,DOWN
1055,DOWN
1056,DOWN
1059,DOWN
1061,DOWN
1062,DOWN
1063,DOWN
1064,DOWN
1065,DOWN
1066,DOWN
1068,DOWN
1069,DOWN
1070,DOWN
1071,DOWN
1072,DOWN
1073,DOWN
1074,DOWN
1075,DOWN
1076,DOWN
1077,DOWN
1078,DOWN
1079,DOWN
1080,DOWN
1081,DOWN
1082,DOWN
1083,DOWN
1084,DOWN
1086,DOWN
1087,DOWN
1088,DOWN
1089,DOWN
1090,DOWN
1092,DOWN
1094,DOWN
1095,DOWN
1096,DOWN
1097,DOWN
1098,DOWN
1099,DOWN
1100,DOWN
1101,DOWN
1102,DOWN
1103,DOWN
1104,DOWN
1105,DOWN
1106,DOWN
1107,DOWN
1108,DOWN
1109,DOWN
1110,DOWN
1111,DOWN
1112,DOWN
1113,DOWN
1114,DOWN
1115,DOWN
1116,DOWN
1117,DOWN
1118,DOWN
1119,DOWN
1121,DOWN
1122,DOWN
1123,DOWN
1124,DOWN
1125,DOWN
1126,DOWN
1128,DOWN
1129,DOWN
1131,DOWN
1132,DOWN
1133,DOWN
1134,DOWN
1135,DOWN
1136,DOWN
1137,DOWN
1138,DOWN
1139,DOWN
1140,DOWN
1141,DOWN
1142,DOWN
1143,DOWN
1144,DOWN
1145,DOWN
1146,DOWN
1147,DOWN
1148,DOWN
1149,DOWN
1150,DOWN
1151,DOWN
1152,DOWN
1153,DOWN
1154,DOWN
1155,DOWN
1156,DOWN
1157,DOWN
1158,DOWN
1159,DOWN
1160,DOWN
1161,DOWN
1162,DOWN
1163,DOWN
1164,DOWN
1165,DOWN
1167,DOWN
1168,DOWN
1169,DOWN
1170,DOWN
1171,DOWN
1172,DOWN
1173,DOWN
1174,DOWN
1175,DOWN
1176,DOWN
1177,DOWN
1178,DOWN
1179,DOWN
1180,DOWN
1181,DOWN
1182,DOWN
1183,DOWN
1184,DOWN
1185,DOWN
1186,DOWN
1187,DOWN
1188,DOWN
1190,DOWN
1191,DOWN
1192,DOWN
1193,DOWN
1194,DOWN
1195,DOWN
1196,DOWN
1197,DOWN
1198,DOWN
1200,DOWN
1201,DOWN
1202,DOWN
1203,DOWN
1204,DOWN
1205,DOWN
1206,DOWN
1207,DOWN
1208,DOWN
1209,DOWN
1210,DOWN
1211,DOWN
1212,DOWN
1214,DOWN
1215,DOWN
1216,DOWN
1217,DOWN
1218,DOWN
1219,DOWN
1220,DOWN
1221,DOWN
1222,DOWN
1223,DOWN
1224,DOWN
1225,DOWN
1226,DOWN
1227,DOWN
1228,DOWN
1229,DOWN
1230,DOWN
1231,DOWN
1232,DOWN
1233,DOWN
1234,DOWN
1235,DOWN
1236,DOWN
1237,DOWN
1238,DOWN
1239,DOWN
1240,DOWN
1241,DOWN
1242,DOWN
1243,DOWN
1244,DOWN
1245,DOWN
1246,DOWN
1247,DOWN
1248,DOWN
1249,DOWN
1250,DOWN
1251,DOWN
1252,DOWN
1254,DOWN
1255,DOWN
1256,DOWN
1257,DOWN
1259,DOWN
1260,DOWN
1261,DOWN
1262,DOWN
1263,DOWN
1264,DOWN
1265,DOWN
1266,DOWN
1267,DOWN
1268,DOWN
1269,DOWN
1270,DOWN
1271,DOWN
1272,DOWN
1273,DOWN
1274,DOWN
1275,DOWN
1276,DOWN
1277,DOWN
1278,DOWN
1279,DOWN
1280,DOWN
1281,DOWN
1282,DOWN
1283,DOWN
1284,DOWN
1285,DOWN
1286,DOWN
1287,DOWN
1288,DOWN
1290,DOWN
1291,DOWN
1292,DOWN
1293,DOWN
1294,DOWN
1295,DOWN
1296,DOWN
1297,DOWN
1298,DOWN
1299,DOWN
1300,DOWN
1301,DOWN
1302,DOWN
1303,DOWN
1304,DOWN
1305,DOWN
1307,DOWN
1308,DOWN
1309,DOWN
1310,DOWN
1311,DOWN
1312,DOWN
1313,DOWN
1314,DOWN
1315,DOWN
